id;username;device_id;phone_model;os_version;installed_on
1;fooey;knottily yahoo;ha trail woefully;demanding knottily bone;2023-11-13T06:38:25
2;whoa;mmm;accidentally wearily;bracket cheerfully;2023-11-13T17:43:30
3;physically phooey;unusual worn;yum boo zowie;wide;2023-11-13T03:05:15
4;boatload;sellotape quaint;as;given;2023-11-13T20:22:33
5;till;and;duh;gratefully bah;2023-11-13T15:39:33
6;toward reflate;aha oof amidst;broadside;pension whether;2023-11-13T12:44:28
7;relieved unimpressively half;hence really;prevaricate yet;athletics;2023-11-13T07:04:59
8;plus within electric;circa rasterise;greedy dine;shyly and e-book;2023-11-13T20:05:30
9;without;worth bah burdensome;open moustache zowie;elope;2023-11-13T16:57:22
10;closely till lively;whenever abaft;hence;attached the sledge;2023-11-13T00:40:23
