id;contract;period;license;unit_price;vat_rate;number_of_users;invoice_number
1;bitterly step-grandmother;15383;linen;147.01;27543.28;18157;by
2;spectacle inasmuch;12355;sedately;3924.76;30178.43;23207;ouch flare ack
3;experimentation mockingly constant;8630;frightfully for uh-huh;6239.03;19031.78;19919;a but
4;huzzah compassionate;10494;argument thoroughly retrain;26789.47;12210.85;19700;valuable rigid deliberately
5;concerning rigidly scarify;22164;man brave;14978.98;24677.81;866;given leg
6;ugh;13008;ack;23008.56;10341.53;3302;circa questioningly nab
7;uh-huh;2209;wean;15371.99;6685.81;16562;than happily
8;curiosity portend;9235;reproachfully old-fashioned;6470.65;26755.28;24033;scarily scatter whose
9;so;19410;atop till yowza;23252.89;20352.46;31772;accurate oh spud
10;amidst captain;13462;joshingly psst;5714.42;8004.59;199;scratchy
