id;contract;pricing;state;license;starts;ends;trial_starts;trial_ends;unit_price;notes;created;updated
1;incidentally loyally ouch;BRACKET;CLOSED;inasmuch zowie repentant;2023-11-13;2023-11-13;2023-11-13;2023-11-13;27856.92;pointed hearty;2023-11-12T23:41:38;2023-11-13T10:47:30
2;neatly;BRACKET;CLOSED;forenenst lest spring;2023-11-13;2023-11-13;2023-11-13;2023-11-13;11360.5;atop phooey decrease;2023-11-13T01:30:55;2023-11-13T00:14:55
3;times;FIXED;NEW;measly;2023-11-13;2023-11-13;2023-11-13;2023-11-13;2357.41;elegantly dismount before;2023-11-13T01:35:34;2023-11-13T12:35:34
4;because sharply;BRACKET;ACTIVE;hm inside;2023-11-13;2023-11-13;2023-11-12;2023-11-13;20097.05;powerfully huzzah with;2023-11-13T09:23:15;2023-11-13T17:02:10
5;thankfully now;BRACKET;CLOSED;like eek floor;2023-11-12;2023-11-13;2023-11-13;2023-11-13;17825.93;fiercely er dashboard;2023-11-13T01:14:22;2023-11-13T02:33:54
6;often ew beloved;BRACKET;ACTIVE;while;2023-11-13;2023-11-13;2023-11-13;2023-11-13;28899.38;astride worrisome for;2023-11-13T13:11:05;2023-11-13T11:09:24
7;multicolored remarry;BRACKET;TRIAL;trembling alongside expose;2023-11-13;2023-11-13;2023-11-13;2023-11-13;6856.88;down yuck till;2023-11-13T12:59:52;2023-11-12T22:49:24
8;yahoo psst;BRACKET;NEW;elastic authentic;2023-11-13;2023-11-13;2023-11-13;2023-11-13;21675.65;bridge;2023-11-13T10:39:27;2023-11-13T20:21:18
9;patiently supposing;FIXED;TRIAL;gee;2023-11-13;2023-11-13;2023-11-13;2023-11-13;19172.18;thorn unbuckle zowie;2023-11-13T19:43:12;2023-11-13T14:48:34
10;ick externalise instead;BRACKET;CLOSED;jaggedly toil;2023-11-13;2023-11-13;2023-11-13;2023-11-12;15108.5;sugary adolescent pfft;2023-11-13T14:37:34;2023-11-12T21:24:32
