id;code;type;state;name;label
1;Table;FITNESS;ARCHIVED;Directives;transmit
2;District Practical Chief;WELLNESS;ARCHIVED;orchestrate Nevada;Belarussian fuchsia Soap
3;Regional;FITNESS;PUBLISHED;Games;Washington
4;mesh methodologies Realigned;WELLNESS;CREATED;violet Loan Music;Bedfordshire Investor
5;Front-line plug-and-play Versatile;WELLNESS;CREATED;California;JSON Communications
6;connecting systems;FITNESS;PUBLISHED;Open-source Baby Borders;SQL Avon
7;azure;FITNESS;ARCHIVED;driver leading-edge TCP;synergistic blue Chief
8;Nebraska;WELLNESS;CREATED;Avon uniform Sleek;Franc
9;open global Agent;WELLNESS;ARCHIVED;Gorgeous UIC-Franc;Pennsylvania Unbranded
10;e-services;WELLNESS;CREATED;withdrawal Granite;Refined Palladium Consultant
