id;number;issued;due_date;sale_date;subtotal;vat;total;paid;paid_date;diff;notes
1;large valiantly;2023-11-12T21:43:42;2023-11-13;2023-11-13;7127.14;1807.69;25018.53;18170.88;2023-11-13;19536.25;gosh broadly step
2;wrinkle;2023-11-13T11:27:27;2023-11-13;2023-11-13;23470.83;413.76;6681.45;14459.49;2023-11-13;21611.96;where rigidly versus
3;shallow following;2023-11-13T05:00:21;2023-11-13;2023-11-13;19743.35;18721.07;28124.43;14498.4;2023-11-13;8446.28;notwithstanding off
4;after er;2023-11-13T05:41:37;2023-11-13;2023-11-13;17408.14;16108.02;21646.64;20232.41;2023-11-13;1589.03;modernity bamboo lest
5;shyly wildly rhubarb;2023-11-13T05:17:26;2023-11-13;2023-11-12;13451.66;31712.52;8483.5;8977.5;2023-11-13;10476.01;chart
6;surmise role;2023-11-13T06:00:36;2023-11-13;2023-11-13;18391.83;2946.7;9120.4;10073.14;2023-11-13;19829.77;hmph where
7;instead furthermore;2023-11-13T11:14:50;2023-11-13;2023-11-13;31217.7;31548.07;9199.91;26106.1;2023-11-13;2300.35;delightfully
8;vaguely;2023-11-13T07:20:37;2023-11-13;2023-11-13;28796.68;25597.51;5148.62;17528.08;2023-11-13;10558.98;mild insignificant
9;converge pedestrianise;2023-11-13T19:35:18;2023-11-13;2023-11-13;6005.52;25237.28;7374.81;31658.63;2023-11-13;10816.96;even very yearly
10;arch-rival;2023-11-13T10:57:15;2023-11-13;2023-11-13;32356.56;8654.19;7702.71;20770.33;2023-11-13;3621.42;under consequently whether
